,product_name,main_category,main_category_en,image_url,energy,energy_from_fat,fat,saturated_fat,butyric_acid,caproic_acid,caprylic_acid,capric_acid,lauric_acid,myristic_acid,palmitic_acid,stearic_acid,arachidic_acid,behenic_acid,lignoceric_acid,cerotic_acid,montanic_acid,melissic_acid,monounsaturated_fat,polyunsaturated_fat,omega_3_fat,alpha_linolenic_acid,eicosapentaenoic_acid,docosahexaenoic_acid,omega_6_fat,linoleic_acid,arachidonic_acid,gamma_linolenic_acid,dihomo_gamma_linolenic_acid,omega_9_fat,oleic_acid,elaidic_acid,gondoic_acid,mead_acid,erucic_acid,nervonic_acid,trans_fat,cholesterol,carbohydrates,sugars,sucrose,glucose,fructose,lactose,maltose,maltodextrins,starch,polyols,fiber,proteins,casein,serum_proteins,nucleotides,salt,sodium,alcohol,vitamin_a,beta_carotene,vitamin_d,vitamin_e,vitamin_k,vitamin_c,vitamin_b1,vitamin_b2,vitamin_pp,vitamin_b6,vitamin_b9,folates,vitamin_b12,biotin,pantothenic_acid,silica,bicarbonate,potassium,chloride,calcium,phosphorus,iron,magnesium,zinc,copper,manganese,fluoride,selenium,chromium,molybdenum,iodine,caffeine,taurine,ph,fruits_vegetables_nuts,fruits_vegetables_nuts_estimate,collagen_meat_protein_ratio,cocoa,chlorophyl,carbon_footprint,nutrition_score_fr,nutrition_score_uk,glycemic_index,water_hardness
14,Original Tomato Ketchup,en:groceries,Groceries,,494.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,29.41,23.53,,,,,,,,,0.0,0.0,,,,2.39014,0.941,,0.0001764,,,,,0.0071,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,16.0,16.0,,
15,Tomato Ketchup,en:groceries,Groceries,,494.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,23.53,23.53,,,,,,,,,0.0,0.0,,,,2.24028,0.882,,0.0,,,,,0.0,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,15.0,15.0,,
16,Sriracha Ketchup,en:groceries,Groceries,,368.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,23.53,17.65,,,,,,,,,5.9,0.0,,,,3.43662,1.3530000000000002,,0.0,,,,,0.0071,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,9.0,9.0,,
17,Sriracha Ketchup,en:groceries,Groceries,,368.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,23.53,17.65,,,,,,,,,5.9,0.0,,,,3.43662,1.3530000000000002,,0.0,,,,,0.0071,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,9.0,9.0,,
18,Original Tomato Ketchup,en:groceries,Groceries,,494.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,29.41,23.53,,,,,,,,,0.0,0.0,,,,2.39014,0.941,,0.0001764,,,,,0.0071,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,16.0,16.0,,
19,Tomato Ketchup,en:groceries,Groceries,,494.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,29.41,23.53,,,,,,,,,0.0,0.0,,,,2.39014,0.941,,0.0001764,,,,,0.0071,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,16.0,16.0,,
20,Tomato Ketchup,en:groceries,Groceries,,494.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,29.41,23.53,,,,,,,,,0.0,0.0,,,,2.39014,0.941,,0.0001764,,,,,0.0071,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,16.0,16.0,,
21,Tomato Ketchup,en:groceries,Groceries,,368.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,23.53,23.53,,,,,,,,,0.0,0.0,,,,2.39014,0.941,,0.0005295,,,,,0.0,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,16.0,16.0,,
22,Tomato Ketchup,en:groceries,Groceries,,368.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,23.53,23.53,,,,,,,,,0.0,0.0,,,,2.39014,0.941,,0.0005295,,,,,0.0,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,16.0,16.0,,
23,Tomato Ketchup,en:groceries,Groceries,,368.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,23.53,23.53,,,,,,,,,0.0,0.0,,,,2.39014,0.941,,0.0005295,,,,,0.0,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,16.0,16.0,,
